name,population
California,"39,356,104"
94566,"45,145"
94567,719
94568,"71,068"
94569,251
94571,"10,514"
94572,"9,309"
94573,107
94574,"7,827"
94575,"1,048"
94576,171
94577,"47,937"
94578,"42,350"
94579,"20,272"
94580,"29,377"
94582,"47,338"
94583,"39,758"
94585,"29,401"
94586,964
94587,"69,502"
94588,"35,162"
94589,"29,959"
94590,"37,991"
94591,"59,026"
94592,"1,020"
94595,"17,341"
94596,"23,795"
94597,"23,654"
94598,"26,346"
94599,"3,428"
94601,"52,102"
94602,"31,104"
94603,"37,042"
94605,"44,477"
94606,"38,459"
94607,"27,019"
94608,"34,083"
94609,"25,175"
94610,"32,404"
94611,"39,780"
94612,"17,742"
94613,612
94618,"17,285"
94619,"27,018"
94621,"34,911"
94702,"17,473"
94703,"20,404"
94704,"25,711"
94705,"14,508"
94706,"20,860"
94707,"12,596"
94708,"11,810"
94709,"12,200"
94710,"8,471"
94720,"5,322"
94801,"32,759"
94803,"27,171"
94804,"44,387"
94805,"14,790"
94806,"63,730"
94901,"40,927"
94903,"31,582"
94904,"13,132"
94920,"12,906"
94922,509
94923,"1,390"
94924,"1,342"
94925,"10,155"
94928,"46,231"
94929,442
94930,"8,748"
94931,"8,945"
94933,"1,284"
94937,938
94938,428
94939,"7,488"
94940,260
94941,"32,190"
94945,"17,309"
94946,673
94947,"25,183"
94949,"18,545"
94950,23
94951,"3,574"
94952,"33,519"
94954,"38,201"
94956,"1,189"
94957,"2,081"
94960,"16,028"
94963,462
94964,"2,054"
94965,"12,044"
94970,400
94971,364
94972,153
94973,"1,438"
95002,"1,920"
95003,"24,977"
95004,"3,902"
95005,"7,552"
95006,"8,802"
95007,359
95008,"48,746"
95010,"9,243"
95012,"10,528"
95013,53
95014,"61,414"
95017,907
95018,"6,055"
95019,"5,891"
95020,"68,365"
95023,"57,367"
95030,"13,373"
95032,"27,678"
95033,"9,853"
95035,"79,393"
95037,"51,867"
95039,"1,427"
95041,803
95043,669
95045,"4,063"
95046,"5,801"
95050,"39,905"
95051,"60,499"
95053,"3,317"
95054,"24,444"
95060,"46,527"
95062,"36,369"
95064,"9,832"
95065,"8,125"
95066,"15,233"
95070,"31,688"
95073,"11,408"
95075,566
95076,"83,716"
95110,"20,314"
95111,"59,761"
95112,"58,775"
95113,"2,161"
95116,"50,436"
95117,"28,663"
95118,"32,827"
95119,"10,461"
95120,"38,003"
95121,"36,657"
95122,"52,555"
95123,"70,952"
95124,"51,803"
95125,"53,333"
95126,"36,996"
95127,"62,269"
95128,"33,653"
95129,"39,797"
95130,"13,376"
95131,"31,335"
95132,"40,981"
95133,"28,749"
95134,"30,916"
95135,"21,402"
95136,"47,294"
95138,"19,420"
95139,"7,232"
95140,91
95148,"45,688"
95202,"6,000"
95203,"16,237"
95204,"30,406"
95205,"40,128"
95206,"68,031"
95207,"52,877"
95209,"46,756"
95210,"42,654"
95211,"1,676"
95212,"27,848"
95215,"25,647"
95219,"30,165"
95220,"8,244"
95221,398
95222,"5,236"
95223,"2,470"
95224,311
95225,"1,019"
95226,0
95227,"1,180"
95228,"4,648"
95230,513
95231,"4,865"
95232,202
95233,233
95236,"4,518"
95237,"3,992"
95240,"50,245"
95242,"27,433"
95245,"2,813"
95246,"1,548"
95247,"4,022"
95248,106
95249,"4,908"
95251,521
95252,"14,622"
95253,504
95254,350
95255,"1,787"
95257,398
95258,"3,885"
95301,"41,660"
95303,891
95304,"15,235"
95305,158
95306,784
95307,"47,978"
95309,0
95310,"1,849"
95311,"2,182"
95312,284
95313,860
95315,"13,317"
95316,"7,154"
95317,948
95318,522
95319,"1,651"
95320,"12,385"
95321,"4,068"
95322,"9,392"
95323,"1,516"
95324,"8,763"
95325,44
95326,"10,672"
95327,"8,788"
95328,"3,856"
95329,"2,394"
95330,"30,051"
95333,"3,157"
95334,"17,302"
95335,58
95336,"49,145"
95337,"44,192"
95338,"10,102"
95340,"36,833"
95341,"34,541"
95345,528
95346,"1,041"
95348,"35,853"
95350,"55,368"
95351,"48,134"
95354,"25,100"
95355,"60,338"
95356,"33,033"
95357,"14,403"
95358,"31,268"
95360,"13,781"
95361,"35,107"
95363,"29,784"
95364,0
95365,"3,882"
95366,"18,500"
95367,"25,162"
95368,"14,849"
95369,778
95370,"28,548"
95372,"1,639"
95374,"1,581"
95375,64
95376,"55,038"
95377,"35,001"
95379,"3,828"
95380,"44,204"
95382,"38,727"
95383,"3,415"
95385,531
95386,"10,387"
95387,"1,215"
95388,"13,518"
95389,"1,963"
95391,"23,696"
95401,"36,905"
95403,"44,677"
95404,"37,437"
95405,"23,748"
95407,"42,138"
95409,"26,158"
95410,797
95412,271
95415,"1,383"
95417,211
95419,169
95420,351
95421,"1,679"
95422,"16,998"
95423,"3,322"
95425,"11,331"
95426,"1,178"
95427,589
95428,"2,775"
95429,118
95430,0
95431,76
95432,614
95435,347
95436,"6,008"
95437,"14,865"
95439,782
95441,"1,819"
95442,"2,592"
95443,190
95444,516
95445,"2,012"
95446,"4,709"
95448,"16,745"
95449,"1,785"
95450,272
95451,"12,957"
95452,"1,240"
95453,"11,254"
95454,"1,714"
95456,775
95457,"3,252"
95458,"3,303"
95459,853
95460,"2,349"
95461,"3,909"
95462,"1,091"
95463,88
95464,"2,466"
95465,"1,251"
95466,880
95467,"5,795"
95468,"1,822"
95469,"1,323"
95470,"6,068"
95471,780
95472,"28,443"
95476,"36,386"
95480,6
95482,"34,183"
95485,"2,909"
95486,27
95488,366
95490,"14,360"
95492,"28,096"
95493,144
95494,151
95497,"1,224"
95501,"23,706"
95503,"24,072"
95511,102
95514,117
95519,"18,781"
95521,"21,712"
95524,"1,700"
95525,"1,358"
95526,638
95527,701
95528,"1,555"
95531,"23,029"
95536,"3,258"
95537,629
95538,"1,022"
95540,"14,415"
95542,"2,862"
95543,376
95545,492
95546,"2,666"
95547,"1,121"
95548,"1,034"
95549,"1,140"
95550,213
95551,"1,789"
95552,423
95553,"1,037"
95554,313
95555,370
95556,692
95558,246
95559,0
95560,"1,337"
95562,"3,396"
95563,911
95564,564
95565,860
95567,"2,001"
95568,224
95569,91
95570,"2,523"
95571,30
95573,"1,417"
95585,545
95587,0
95589,"1,153"
95595,143
95601,352
95602,"18,610"
95603,"28,366"
95604,34
95605,"14,291"
95606,185
95607,235
95608,"63,715"
95610,"46,219"
95612,"1,462"
95613,0
95614,"4,479"
95615,"1,147"
95616,"52,090"
95618,"26,946"
95619,"6,414"
95620,"22,004"
95621,"42,089"
95623,"4,488"
95624,"67,915"
95625,88
95626,"5,845"
95627,"4,137"
95628,"44,256"
95629,747
95630,"76,599"
95631,"6,244"
95632,"31,217"
95633,"3,305"
95634,"3,878"
95635,948
95636,"1,374"
95637,276
95638,"2,246"
95639,314
95640,"12,518"
95641,"1,517"
95642,"7,152"
95645,"1,162"
95646,249
95648,"55,350"
95650,"14,098"
95651,738
95652,"1,193"
95653,455
95655,"4,954"
95658,"5,974"
95659,790
95660,"35,458"
95661,"32,827"
95662,"32,436"
95663,"2,659"
95664,"1,133"
95665,"4,693"
95666,"5,885"
95667,"36,084"
95668,507
95669,"2,514"
95670,"59,449"
95671,"4,478"
95672,"5,744"
95673,"16,665"
95674,859
95675,487
95676,113
95677,"28,591"
95678,"45,210"
95679,131
95680,9
95681,"1,370"
95682,"29,750"
95683,"6,330"
95684,"2,913"
95685,"4,703"
95686,"1,194"
95687,"68,996"
95688,"40,147"
95689,"1,498"
95690,"1,621"
95691,"39,961"
95692,"4,887"
95693,"7,624"
95694,"9,600"
95695,"39,892"
95697,281
95698,196
95699,60
95701,"1,045"
95703,"1,955"
95709,"6,103"
95713,"10,280"
95714,411
95715,110
95717,129
95720,107
95721,0
95722,"4,829"
95726,"7,974"
95728,549
95735,51
95736,131
95742,"14,883"
95746,"22,743"
95747,"75,681"
95757,"53,232"
95758,"66,153"
95762,"45,842"
95765,"43,059"
95776,"26,352"
95811,"8,456"
95814,"12,248"
95815,"26,523"
95816,"18,334"
95817,"14,513"
95818,"23,062"
95819,"19,806"
95820,"36,024"
